Index,Name,Difficulty,Number of reviews,Location
#4008,High Peaks Trail to Old Pinnacles Trail to Condor Gulch Trail Loop,HARD,6,"Pinnacles National Park
"
#4009,Emerald Pools,EASY,9,"Tahoe National Forest
"
#4010,The Summit,MODERATE,15,"Stoney Point Park
"
#4011,Wildhorse Canyon Sugarloaf Overnighter Trail,MODERATE,17,"San Bernardino National Forest
"
#4012,Portobelo Ridge Trail,MODERATE,23,"Mission Trails Regional Park
"
#4013,Morning Sun Trail to Hawk Camp,MODERATE,15,"Golden Gate National Recreation Area
"
#4014,"PG&E Trail, Upper High Meadow, and Upper Rogue Valley Loop",HARD,14,"Rancho San Antonio County Park
"
#4015,Sespe River Trail To Sespe Hot Springs,MODERATE,12,"Sespe Wilderness
"
#4016,TJ Lake via Lake George,EASY,16,"Mammoth Lakes, California
"
#4017,Giant Rock OHV Trail,EASY,21,"Landers, California
"
#4018,UCSC Upper Campus Trail,MODERATE,20,"Santa Cruz, California
"
#4019,Ancil Hoffman Loop,EASY,23,"Ancil Hoffman Park
"
#4020,Woodward Park Loop,EASY,19,"Woodward Park
"
#4021,Dusy Basin Trail,HARD,4,"John Muir Wilderness
"
#4022,Las Virgenes Fireroad Trail,EASY,21,"Liberty Canyon Natural Preserve
"
#4023,Mudhen Lake and Rim Trail Ramble,HARD,11,"Fort Ord National Monument
"
#4024,Leavitt Meadow to Fremont Lake,HARD,10,"Toiyabe National Forest
"
#4025,Rio Del Mar Trail,EASY,12,"Manresa State Beach
"
#4026,San Vicente Mountain to Rustic Canyon Loop Trail,HARD,9,"Topanga State Park
"
#4027,Hospital Rock to Potwisha Trail,EASY,12,"Sequoia National Park
"
#4028,Hurricane Deck Trail,HARD,7,"Los Padres National Forest
"
#4029,Palm Springs Tram to Idyllwild,HARD,4,"Mount San Jacinto State Park
"
#4030,"Satwiwa Loop Trail to Old Boney, Fossil and Upper Sycamore Loop",HARD,14,"Point Mugu State Park
"
#4031,Troop 80 Trail,MODERATE,7,"Mount Tamalpais State Park
"
#4032,Black Canyon and Pamo OHV Road,MODERATE,14,"Cleveland National Forest
"
#4033,Deer Gulch Trail via Cliff Trail,MODERATE,24,"Vargas Plateau Regional Park
"
#4034,West Cucamonga Truck Trail,HARD,12,"San Bernardino National Forest
"
#4035,Earl Moser Trail Loop,MODERATE,13,"Jacks Peak County Park
"
#4036,Bee Rock Loop,MODERATE,21,"Griffith Park
"
#4037,Tecate Peak Trail,MODERATE,22,"Dulzura, California
"
#4038,"Serpentine, Sylvan, Edgewod, and Sunset Trails Loop",MODERATE,8,"Edgewood Park and Nature Preserve
"
#4039,"Icehouse Saddle, Timber, Telegraph, Thunder, Mt Baldy, Mt Harwood and Mt San Antonio",HARD,7,"Angeles National Forest
"
#4040,Fern Canyon Trail,MODERATE,5,"Agua Caliente Band of Cahuilla Indians Reservation
"
#4041,Trailer Canyon to Temescal Peak,MODERATE,12,"Topanga State Park
"
#4042,Junipero Serra and Oak Canyon Trail,MODERATE,3,"Mission Trails Regional Park
"
#4043,Chrissy Field to Marin Headlands via Golden Gate Bridge,MODERATE,8,"San Francisco, California
"
#4044,Stinson Beach Trail,EASY,13,"Mount Tamalpais State Park
"
#4045,Whiskey Falls Trail,EASY,7,"Sierra National Forest
"
#4046,Moffat Ranch to Movie OHV Road,EASY,8,"Alabama Hills Recreation Area
"
#4047,Turtleback Point Loop,EASY,22,"China Camp State Park
"
#4048,Tamarack Flat to El Capitan,MODERATE,8,"Yosemite National Park
"
#4049,Mount Olympia to North Peak Loop,HARD,18,"Mount Diablo State Park
"
#4050,Squaw Valley Creek Trail,MODERATE,16,"Shasta-Trinity National Forest
"
#4051,Big Pine Trail,MODERATE,10,"Joshua Tree National Park
"
#4052,Merced Lake Trail,HARD,3,"Yosemite National Park
"
#4053,Alviso Marina Loop,EASY,23,"Alviso Marina County Park
"
#4054,Crane Flat Lookout Trail,EASY,8,"Yosemite National Park
"
#4055,TRW Loop Trail,EASY,7,"Santa Monica Mountains National Recreation Area
"
#4056,Caswell Short Loop Trail,EASY,42,"Caswell Memorial State Park
"
#4057,Piedras Blancas Point to San Simeon Cove,MODERATE,11,"Hearst San Simeon State Park
"
#4058,Panther Springs Trail,EASY,13,"Shasta-Trinity National Forest
"
#4059,Vulcan Steps,MODERATE,11,"San Francisco, California
"
#4060,Pointed Rocks Firebreak Loop Trail,MODERATE,5,"Auburn State Recreation Area
"
#4061,De La Veaga Loop,MODERATE,20,"Orinda, California
"
#4062,El Cerrito Foundation Memorial Grove Trail,MODERATE,24,"Hillside Nature Area
"
#4063,San Jacinto Peak Via South Ridge Trail,HARD,5,"San Jacinto Wilderness
"
#4064,Lawndale and Schultz Trail Loop,MODERATE,25,"Annadel State Park
"
#4065,Roaring Camp Loop Trail,EASY,20,"Henry Cowell Redwoods State Park
"
#4066,Cheeseboro Canyon Trail and Modelo Trail Loop,MODERATE,11,"Cheeseboro/Palo Comado Canyons
"
#4067,Barker Pass to Twin Peaks,MODERATE,8,"Lake Tahoe Basin Management Unit
"
#4068,Eucalyptus South Loop,EASY,16,"Chino Hills, California
"
#4069,Sullivan Canyon and Mandeville Canyon Loop,MODERATE,12,"Sullivan Canyon Park
"
#4070,"Dewey, Crocker, and Stanford Point via the Pohono Trail",MODERATE,12,"Yosemite National Park
"
#4071,Central Park Loop,MODERATE,30,"Central Park
"
#4072,Coyote Run Trail,EASY,19,"Daley Ranch
"
#4073,Round Top Loop Trail to Volcanic Trail Loop,MODERATE,11,"Robert Sibley Volcanic Regional Preserve
"
#4074,Ontario Ridge Trail via Shell Beach Road,MODERATE,8,"Pismo Beach, California
"
#4075,Telegraph Canyon Road Trail,MODERATE,11,"Chino Hills State Park
"
#4076,Battery Alexander Knoll Loop,EASY,8,"Golden Gate National Recreation Area
"
#4077,Sorich/Tomahawwk Trail to Sorich Park Trail Loop,MODERATE,15,"Sorich Ranch Park
"
#4078,Soda Springs OHV Trail,MODERATE,11,"Tahoe National Forest
"
#4079,Atwater River Walk,EASY,28,"Los Angeles, California
"
#4080,Kern River Parkway Trail,EASY,24,"Kern River Parkway Park
"
#4081,Mount Wittenberg via Sky Trail,MODERATE,6,"Point Reyes National Seashore
"
#4082,Chicken Shack and Big Rock Ridge Road Loop,HARD,20,"Pacheco Valle Open Preserve
"
#4083,Coast Ridge and Nacimiento-Fergusson OHV Road,MODERATE,4,"Ventana Wilderness
"
#4084,Mountain Theater Loop,EASY,8,"Mount Tamalpais State Park
"
#4085,Fish Creek Wash OHV Trail,HARD,14,"Anza-Borrego Desert State Park
"
#4086,Villager Peak Trail,HARD,11,"Santa Rosa Wilderness
"
#4087,Dairy Creek and El Chorro Loop Trail,EASY,32,"El Chorro Regional Park
"
#4088,River of Skulls Trail,EASY,32,"Valley Springs, California
"
#4089,San Diego National Wildlife Refuge,EASY,14,"San Diego National Wildlife Refuge
"
#4090,West Sycamore,EASY,26,"San Diego, California
"
#4091,Beehive Meadow Trail,MODERATE,3,"Yosemite National Park
"
#4092,Telephone Loop Trail,EASY,22,"Torrance, California
"
#4093,Santa Rosa Creek Trail: Willowside Road to Fulton Road,EASY,20,"Santa Rosa, California
"
#4094,Wetlands Walk to Boardwalk Loop,EASY,8,"Cosumnes River Preserve
"
#4095,Jacks Peak to Rhus Trail Loop,MODERATE,13,"Jacks Peak County Park
"
#4096,Skyline-to-the-Sea Trail: Castle Rock Route,HARD,13,"Big Basin Redwoods State Park
"
#4097,Sawyer Camp Trail: San Andreas Lake to Lower Crystal Springs Reservoir,EASY,11,"San Francisco State Fish and Game Refuge
"
#4098,Talbert Nature Reserve Fairview Park Trail,EASY,16,"Fairview Avenue Park
"
#4099,Bennett Valley Overlook,MODERATE,8,"North Sonoma Mountain Regional Park and Open Space Preserve
"
#4100,Hoo-Koo-E-Koo Trail,MODERATE,12,"Mill Valley, California
"
#4101,Oak Tree to McCullough Loop,EASY,27,"Wildwood Canyon State Park
"
#4102,Seal Beach Pier,EASY,17,"Seal Beach, California
"
#4103,Elings Park Sierra Club Trail,MODERATE,25,"Elings Park
"
#4104,Camille Trail,MODERATE,14,"Las Trampas Regional Park
"
#4105,Ladera Linda Quarry Trail,MODERATE,15,"Forrestal Nature Preserve
"
#4106,Shingle Mill and Upper Coyote Ridge via Pomponio Trail,MODERATE,10,"Pescadero Creek County Park
"
#4107,Kings Canyon Lookout Point,MODERATE,5,"Giant Sequoia National Monument
"
#4108,Pescadero and Pigeon Point Lighthouse,EASY,13,"Pescadero State Beach
"
#4109,Simon Open Space Preserve Trail,EASY,21,"Simon Open Space Preserve
"
#4110,Echo Lake Loop,EASY,24,"Echo Park
"
#4111,Blue Rock Springs Park Trail,MODERATE,27,"Blue Rock Springs Park
"
#4112,Inland Rail Trail,EASY,7,"San Marcos, California
"
#4113,Camino Alto Fire Road - Alto Bowl,MODERATE,13,"Camino Alto Open Space Preserve
"
#4114,Bear Creek Trail,HARD,3,"Sierra National Forest
"
#4115,Woody's Hot Springs,EASY,5,"Plumas National Forest
"
#4116,Greyhound Rock Beach Walk,EASY,7,"Greyhound Rock County Park
"
#4117,American Canyon to Wendell T Robie Loop,MODERATE,15,"Auburn State Recreation Area
"
#4118,Waterman Mountain,MODERATE,7,"Angeles National Forest
"
#4119,Hart Trail,MODERATE,24,"William S Hart County Park
"
#4120,John Nicholas Trail,MODERATE,17,"Sanborn County Park
"
#4121,Fullerton Arboretum,EASY,22,"Fullerton Arboretum
"
#4122,Berry Glen and Lady Bird Grove Trail,MODERATE,14,"Redwood National Park
"
#4123,McGregor George and East Shore Trail,MODERATE,10,"Lake Chabot Regional Park
"
#4124,Mount Hollywood via Amir's Garden,MODERATE,13,"Griffith Park
"
#4125,Lukens Lake from White Wolf,EASY,9,"Yosemite National Park
"
#4126,Aliso Peak Trail from St Tropez,EASY,13,"Aliso And Wood Canyons Regional Park
"
#4127,Alpine Lake and Serpentine Point,HARD,7,"Mount Tamalpais Watershed
"
#4128,Lake Eleanor Open Space,EASY,16,"Lake Eleanor Open Space
"
#4129,Hatton Trail,MODERATE,15,"Jedediah Smith Redwood State Park
"
#4130,Saratoga Gap Trail to Achistaca Trail Loop,MODERATE,15,"Saratoga Gap Open Space
"
#4131,Panorama Trail Loop,MODERATE,15,"Portuguese Bend Reserve
"
#4132,Bill Wallace El Capitan Trail,MODERATE,26,"El Capitan State Beach
"
#4133,Baltic Ridge OHV Trail,MODERATE,11,"El Dorado National Forest
"
#4134,Holy Jim Canyon Trail [CLOSED],MODERATE,360,"Cleveland National Forest
"
#4135,Oak Glen Creek Basin Trail,MODERATE,20,"Yucaipa, California
"
#4136,Miwok Meadows,EASY,16,"China Camp State Park
"
#4137,West County Regional Trail,EASY,31,"Forestville, California
"
#4138,Brutal Rush Creek Bahia Trail,EASY,19,"Rush Creek Open Space Preserve
"
#4139,Little Bald Hills Trail,MODERATE,19,"Smith River National Recreation Area
"
#4140,Cross Marin Trail,EASY,17,"Samuel P. Taylor State Park
"
#4141,South Shore of Lake Hodges,MODERATE,14,"San Diego, California
"
#4142,Ventura Botanical Gardens Trail,EASY,15,"Grant Memorial Park
"
#4143,Quail Mountain via Juniper Flats,HARD,18,"Joshua Tree National Park
"
#4144,Monkey Canyon Trail,EASY,8,"Angeles National Forest
"
#4145,Pebble Beach Cruise,MODERATE,12,"Monterey, California
"
#4146,Mount Wilson Observatory Walking Trails,EASY,5,"San Gabriel Mountains National Monument
"
#4147,Mount Waterman and Twin Peaks Trail Loop,HARD,11,"San Gabriel Wilderness
"
#4148,Rattlesnake Flats Trail,MODERATE,17,"Montana De Oro State Park
"
#4149,Inspiration Point via Mount Lowe Motorway,MODERATE,3,"Angeles National Forest
"
#4150,Red Canyon OHV Trail,HARD,12,"Orocopia Mountain Wilderness
"
#4151,Penetencia Creek Trail to South Rim to Sycamore Switchback,MODERATE,7,"Alum Rock Park
"
#4152,Sage Trail to Coyote Run Trail Loop,MODERATE,15,"Daley Ranch
"
#4153,Elk Prairie Trail,EASY,13,"Prairie Creek Redwoods State Park
"
#4154,Old Growth Trail,EASY,15,"The Forest of Nisene Marks State Park
"
#4155,Rock Spring Trail,MODERATE,8,"Mount Tamalpais Watershed
"
#4156,Wren Meacham Trail,MODERATE,25,"Glendora, California
"
#4157,Iris Trail and Rhus Trail,EASY,26,"Jacks Peak County Park
"
#4158,Jake's Peak,MODERATE,10,"Lake Tahoe Basin Management Unit
"
#4159,The Clark Range and Red Peak Pass Trail,HARD,3,"Yosemite National Park
"
#4160,Shaver Lake to Dinkey Creek Road,MODERATE,6,"Sierra National Forest
"
#4161,Silver Lake and Clark Lakes to Agnew Pass in the Eastern Sierras,HARD,5,"Inyo National Forest
"
#4162,"Anaheim Hills, Barham Ridge and Mountain Goat, Hawk, Oak",MODERATE,20,"Santiago Oaks Regional Park
"
#4163,Rocky Point,EASY,3,"Carmel-by-the-Sea, California
"
#4164,Año Nuevo-Goat Hill-Butano Creek,MODERATE,18,"Butano State Park
"
#4165,Daley Ranch Meadow Trail,EASY,12,"Hollenbeck Canyon Wildlife Area
"
#4166,PCT: Boulder Oaks to Pioneer Mail,HARD,11,"Cleveland National Forest
"
#4167,Upper Pine Lake via Italy Pass,HARD,7,"Inyo National Forest
"
#4168,Lake Perris Area Trail,MODERATE,17,"Lake Perris State Recreation Area
"
#4169,Tennessee Valley to Rodeo Beach,MODERATE,12,"Golden Gate National Recreation Area
"
#4170,Hell Hole Trail,MODERATE,10,"El Dorado National Forest
"
#4171,Jackson Lake to Vincent's Cabin,MODERATE,7,"Angeles National Forest
"
#4172,"Lower Meadow, High Meadow, Upper Wildcat and PG&E Trail Loop",HARD,9,"Rancho San Antonio County Park
"
#4173,High Desert National Recreation Trail from Buckhorn Flat to Burkhart Saddle,HARD,15,"Angeles National Forest
"
#4174,Elsmere Canyon Road Loop,MODERATE,16,"Santa Clarita, California
"
#4175,Dunham Loop Trail,MODERATE,37,"Murrieta, California
"
#4176,Castaic Falls Trail,MODERATE,16,"Lake Hughes, California
"
#4177,City View Trail,MODERATE,27,"Ukiah, California
"
#4178,Montclair Railroad Trail: Shepherd Canyon,EASY,28,"Shepherd Canyon Park
"
#4179,Shirland Canal and Cardiac Bypass Loop,MODERATE,13,"Auburn State Recreation Area
"
#4180,Jackson Demonstration Forest (Double Loop),HARD,9,"Jackson Demonstration State Forest
"
#4181,The Mokelumne River Trail to Middle Bar,HARD,4,"Pardee Recreation Area
"
#4182,Lava Beds Trail,MODERATE,9,"Mojave National Preserve
"
#4183,John Bull Loop Trail,MODERATE,20,"Pardee Recreation Area
"
#4184,Tamarack Lake and Lake Aloha Loop,MODERATE,8,"Lake Tahoe Basin Management Unit
"
#4185,Pinto Mountain Trail,HARD,9,"Joshua Tree National Park
"
#4186,Mumford Bar Trail,HARD,28,"Tahoe National Forest
"
#4187,Terrace Hill,EASY,20,"San Luis Obispo, California
"
#4188,Little Falls Trail,MODERATE,13,"Santa Lucia Wilderness
"
#4189,"Golden Eagle Trail, Viewpoint, and Upper Ranch Trail",MODERATE,21,"Vargas Plateau Regional Park
"
#4190,Silver Lake to Thousand Island Lake Loop,HARD,9,"Ansel Adams Wilderness
"
#4191,San Juan Trail from Hot Springs Canyon Road,MODERATE,11,"Cleveland National Forest
"
#4192,Symbol Bridge And Big Painted Cave,EASY,17,"Lava Beds National Monument
"
#4193,Nob Hill Trail,MODERATE,6,"Fremont Older Open Space Preserve
"
#4194,Stockton Creek Preserve Loop,MODERATE,31,"Mariposa, California
"
#4195,Tenaja Falls from Ortega Oaks,MODERATE,12,"San Mateo Canyon Wilderness
"
#4196,Tahoe -Yosemite Trail to Rubicon Lake,MODERATE,5,"Lake Tahoe Basin Management Unit
"
#4197,Eldridge Grade,HARD,8,"Mount Tamalpais Watershed
"
#4198,Big Laguna Lake Meadow Walk,MODERATE,14,"Cleveland National Forest
"
#4199,Mount Gleason Trail,MODERATE,10,"Angeles National Forest
"
#4200,Rattlesnake Trail,MODERATE,21,"Haskell Canyon Open Space
"
#4201,Alhambra Creek Trail to Spengler Trail,MODERATE,20,"Briones Regional Park
"
#4202,Rainbow Lake Trail,MODERATE,4,"Lassen Volcanic National Park
"
#4203,Indian Creek Trail Loop,EASY,17,"Shell Ridge Open Space
"
#4204,Levee Path,EASY,17,"Sutter's Landing Regional Park
"
#4205,Bald Mountain OHV Road,MODERATE,10,"Sierra National Forest
"
#4206,Middle Pond and East Ridge Loop,MODERATE,15,"Daley Ranch
"
#4207,Sea Ranch Beaches Access Trails,EASY,16,"Sea Ranch, California
"
#4208,Oak Tree Trail to Upper Christmas to Ridgeline Trail Loop,MODERATE,11,"Pleasanton Ridge Regional Park
"
#4209,East Lake Trail,MODERATE,3,"Toiyabe National Forest
"
#4210,Lover's Leap via Sayles Canyon,MODERATE,31,"El Dorado National Forest
"
#4211,Fire Bell Trail,MODERATE,21,"Yucaipa, California
"
#4212,"Bear Gulch, Alambique, Meadow and Madrone Trail Loop",MODERATE,12,"Wunderlich County Park
"
#4213,"El Corte De Madera Loop- Tafoni Trail, Methuselah Trail, Gordon Mill Trail",MODERATE,21,"El Corte De Madera Creek Open Space Preserve
"
#4214,Ohlone Trail to Arastradero Creek Trail,MODERATE,13,"Arastradero Preserve
"
#4215,Alpine Meadows to Squaw Valley,HARD,3,"Granite Chief Wilderness
"
#4216,Slate Mountain Trail,MODERATE,9,"Giant Sequoia National Monument
"
#4217,West Side Loop to Brushy Peak and Laughlin Loop Trail,MODERATE,17,"Brushy Peak Regional Preserve
"
#4218,Napa River Trail,EASY,14,"John F Kennedy Memorial Park
"
#4219,Joe Rodota Trail,EASY,19,"Santa Rosa, California
"
#4220,Becker Peak Trail,MODERATE,6,"El Dorado National Forest
"
#4221,Coastal Trail to Viewpoint Loop,EASY,9,"Golden Gate National Recreation Area
"
#4222,Texas Springs Trail,EASY,4,"Death Valley National Park
"
#4223,"Golden Spike, Tate, Orchard, and Bridle Loop",MODERATE,19,"Redwood Regional Park
"
#4224,Manzanar Japanese Relocation Site: Manzanar Trail,EASY,15,"Manzanar National Historic Site
"
#4225,Paradise Ridge Trail,MODERATE,9,"Sequoia National Park
"
#4226,Gray Eagle Waterfalls,EASY,7,"Plumas National Forest
"
#4227,Coast Road,EASY,11,"Carmel, California
"
#4228,"Iron Mountain via Heaton Flat Trail, Allison Gulch Trail & East Fork Trail Loop",HARD,12,"Sheep Mountain Wilderness
"
#4229,East Weaver Lake Trail,MODERATE,9,"Shasta-Trinity National Forest
"
#4230,Ferrari Mill Loop,MODERATE,8,"El Dorado National Forest
"
#4231,Rancho San Vicente Extended Loop,MODERATE,16,"Rancho San Vicente Open Space Preserve
"
#4232,Chapman Heights Trail,EASY,27,"Yucaipa Regional Park
"
#4233,Fremont Ridge Trail,MODERATE,18,"Los Padres National Forest
"
#4234,Telegraph Canyon Road,MODERATE,14,"Chino Hills State Park
"
#4235,Sherman Pass OHV Trail,HARD,7,"Sequoia National Forest
"
#4236,Texas Canyon Rocks,MODERATE,15,"Angeles National Forest
"
#4237,Marina Point,EASY,29,"Morro Bay State Park
"
#4238,Hagan Park to the American River Trail,EASY,15,"Hagan Community Bend Park
"
#4239,Shady Canyon Loop via Quail Hill Community Park,HARD,3,"Laguna Coast Wilderness Park
"
#4240,"Mist Trail, Cloud Rest, May Lake and Snow Creek Loop",HARD,5,"Yosemite National Park
"
#4241,San Bernardino Peak via Momyer Creek Trail,HARD,14,"San Gorgonio Wilderness
"
#4242,Mount Washington Neighborhood Trails,MODERATE,11,"Carlin Smith Playground Park
"
#4243,Sgt. Steve Owen Bench Trail,MODERATE,27,"Palmdale, California
"
#4244,Summit Lake Loop,HARD,13,"Giant Sequoia National Monument
"
#4245,Emigrant Pass Trail,HARD,10,"El Dorado National Forest
"
#4246,Bobcat to Miwok to Coastal to SCA Loop,MODERATE,15,"Golden Gate National Recreation Area
"
#4247,North Fork Trinity River to Grizzly Lake,MODERATE,4,"Trinity Alps Wilderness
"
#4248,"Feely Lake, Milk Lake, and Glacier Lake via Sand Ridge Trail",MODERATE,3,"Tahoe National Forest
"
#4249,Leviathan Mine OHV Road,MODERATE,8,"Toiyabe National Forest
"
#4250,Enchanted Forest Trail,MODERATE,19,"Los Padres National Forest
"
#4251,Mount Lyell,HARD,4,"Yosemite National Park
"
#4252,Pine Ridge Trail to Primitive Camp,MODERATE,7,"Cuyamaca Rancho State Park
"
#4253,Hidden Trails Loop,MODERATE,16,"Veterans Park
"
#4254,Dipsea Trail to Willow Camp Fire Road to Matt Davis Trail,HARD,9,"Mount Tamalpais State Park
"
#4255,Mother Grundy Truck Trail,MODERATE,19,"Jamul, California
"
#4256,Lake Wohlford: South Trails,EASY,27,"Lake Wohlford Park
"
#4257,Bay Area Ridge Trail: Independent School to Five Canyons and Newt Pond Trail,MODERATE,20,"Don Castro Regional Recreation Area
"
#4258,Sheep Canyon Trail,MODERATE,14,"Anza-Borrego Desert State Park
"
#4259,Honey Springs Trail,MODERATE,6,"Hollenbeck Canyon Wildlife Area
"
#4260,Shelter Island Loop,EASY,21,"Shoreline Park
"
#4261,"North Los Mares, Prima Desecha, and Las Ramblas Trail",MODERATE,18,"San Clemente, California
"
#4262,Page Meadows to TRT,MODERATE,13,"Lake Tahoe Basin Management Unit
"
#4263,City View Ridge,MODERATE,18,"South Hills Preserve
"
#4264,"Burton Creek, Purple, Outer Blue, Orange, Red Loop",MODERATE,8,"Burton Creek State Park
"
#4265,Lower Otay Reservoir: East Side,EASY,17,"Chula Vista, California
"
#4266,Ellwood Forest Park Loop,MODERATE,19,"Ellwood Forest Park
"
#4267,Triunfo Park,MODERATE,25,"South Ridge Open Space
"
#4268,Crystal Cove West Side Loop,HARD,5,"Crystal Cove State Park
"
#4269,The Los Angeles Bikeway,MODERATE,11,"Shoreline Aquatic Park
"
#4270,Willis Palms and West Mesa Trail,EASY,24,"Indio Hills Palms
"
#4271,Kaiser Loop Trail,HARD,8,"Kaiser Wilderness
"
#4272,Hidden Palms Loop,MODERATE,12,"Coachella Valley Preserve
"
#4273,Toyon Trail,EASY,18,"Coal Mine Ridge Park
"
#4274,Star Lake Trail via High Meadows Trail,MODERATE,13,"South Lake Tahoe, California
"
#4275,Arroyo Seco Ridge Trail,MODERATE,8,"Los Padres National Forest
"
#4276,Niguel Botanical Preserve Trails,EASY,16,"Crown Valley Community Park
"
#4277,Eagle Rock Trail,MODERATE,17,"Big Basin Redwoods State Park
"
#4278,Bay Area Ridge and Nature Path Loop,MODERATE,17,"Robert Sibley Volcanic Regional Preserve
"
#4279,Big Laguna and Sunset Trail Loop,MODERATE,11,"Cleveland National Forest
"
#4280,Scully Hill Trail,MODERATE,15,"Chino Hills State Park
"
#4281,Ten Hills and East Shore Loop,MODERATE,21,"Lake Chabot Regional Park
"
#4282,Valley View Trail Loop,MODERATE,16,"San Pedro Valley County Park
"
#4283,Bloody Nose Trail,MODERATE,18,"Montana De Oro State Park
"
#4284,Roadrunner Trail,EASY,15,"Rancho Mirage, California
"
#4285,Shake Camp Campground to Maggie Lakes,HARD,5,"Giant Sequoia National Monument
"
#4286,"San Gabriel Peaks (San Gabriel, Mount Disappointment, Mount Lowe, Mount Markham)",MODERATE,14,"San Gabriel Mountains National Monument
"
#4287,Berryessa North End Trail,EASY,14,"Napa, California
"
#4288,Heartwell Park Trail,EASY,20,"Heartwell Park
"
#4289,Iverson and Sequoia Nature Loop Trail,EASY,7,"Portola Redwoods State Park
"
#4290,Apollo Park Trail,EASY,35,"Apollo Park
"
#4291,Sloane Canyon Trail,MODERATE,14,"Sycuan Indian Reservation
"
#4292,Acorn Creek Trail,MODERATE,13,"Folsom Lake State Recreation Area
"
#4293,Lost Coast - King Range Loop,HARD,4,"King Range Wilderness
"
#4294,Mount Tom Fire Lookout OHV Trail,MODERATE,10,"Sierra National Forest
"
#4295,Vic Fazio Yolo Wildlife Area,EASY,23,"West Sacramento, California
"
#4296,Priest Rock Trail,MODERATE,15,"Sierra Azul Open Space Preserve
"
#4297,Doheny Beach Trail,EASY,14,"Doheny State Beach
"
#4298,Swansea-Cerro Gordo OHV Route,MODERATE,11,"Inyo Mountains Wilderness
"
#4299,Boney Ridge Traverse,HARD,13,"Santa Monica Mountains National Recreation Area
"
#4300,Whispering Pines Nature Trail,EASY,12,"San Bernardino National Forest
"
#4301,Atascadero Lake Park,EASY,20,"Atascadero Lake Park
"
#4302,Culp Valley Overlook Trail,EASY,15,"Anza-Borrego Desert State Park
"
#4303,Mine Wash OHV Trail,EASY,7,"Anza-Borrego Desert State Park
"
#4304,Loveland Reservoir Trail,EASY,24,"Cleveland National Forest
"
#4305,Santa Margarita Preserve Trail,EASY,15,"Santa Margarita County Preserve
"
#4306,Sunset Peak Alternate Approach,MODERATE,4,"Angeles National Forest
"
#4307,Los Trancos Loop Trail,EASY,20,"Los Trancos Preserve
"
#4308,Shakota Trail (Northbound),MODERATE,20,"Ukiah, California
"
#4309,Redwood Trail,MODERATE,17,"East Bay Municipal Utility District Lands (EBMUD)
"
#4310,San Gabriel via Sam Merrill and Mount Lowe Trails,HARD,13,"Angeles National Forest
"
#4311,Westside Trails,EASY,22,"Redding, California
"
#4312,Grasshopper Mountain Trail,HARD,12,"Humboldt Redwoods State Park
"
#4313,Vogelsang Lake and Volesang Pass Trail,MODERATE,10,"Yosemite National Park
"
#4314,Rawhide to Paige Loop,EASY,9,"Lake Tahoe Basin Management Unit
"
#4315,Heritage Park,EASY,12,"Heritage Park
"
#4316,Guardians Trail Via South Rim Trail Loop,HARD,18,"Bidwell Park
"
#4317,Shadow Lake Trail,EASY,12,"Lassen Volcanic National Park
"
#4318,Lost Coast Trail: Bear Harbor to Mistake Point,HARD,3,"Sinkyone Wilderness State Park
"
#4319,Lookout Trail and Nature Trail Loop,EASY,13,"Villa Montalvo County Park
"
#4320,"Loop Through Monte Bello, Skyline Ridge, Russian Ridge, and Coal Creek",MODERATE,12,"Monte Bello Open Space Preserve
"
#4321,"Sierra Morena, Gordan Mill, Crosscut, Timberview, and Steam Donkey Trail Loop",MODERATE,18,"El Corte De Madera Creek Open Space Preserve
"
#4322,Fall Creek Trail to Ridge Trail Loop,MODERATE,8,"Felton Covered Bridge County Park
"
#4323,Harrington Creek Trail,HARD,15,"La Honda Creek Open Space Preserve
"
#4324,"Ishibash, Toyen, Donor One and Paint Brush Trail Loop",EASY,5,"Portuguese Bend Reserve
"
#4325,"Redtail, Portola Pastures, Meadowlark, and Wild Rye Trail",MODERATE,14,"Arastradero Preserve
"
#4326,Sardine Falls Trail,MODERATE,9,"Toiyabe National Forest
"
#4327,Cypress Mountain Drive OHV Trail,EASY,14,"Templeton, California
"
#4328,"Philips, East Ridge, Prince, Stream, Tres Sendas, West Ridge Loop",MODERATE,10,"Redwood Regional Park
"
#4329,Hillcrest Trail,EASY,21,"Vacaville, California
"
#4330,Bloody Canyon Trail,HARD,8,"Ansel Adams Wilderness
"
#4331,Pio Pico Campground to Otay Mountain via Minnewawa Truck Trail,MODERATE,22,"Otay Mountain Wilderness
"
#4332,Olancha Pass and Summit Meadow,HARD,9,"South Sierra Wilderness
"
#4333,Volvon and Blue Oak Loop Trail,MODERATE,20,"Morgan Territory Regional Preserve
"
#4334,Rocky Peak Trail to Las Llajas Canyon Trail,HARD,19,"Rocky Peak Park
"
#4335,Ten Taypo-Hope Creek Loop Trail,MODERATE,16,"Prairie Creek Redwoods State Park
"
#4336,Fortini Trail to Stile Ranch Trail,MODERATE,12,"Santa Teresa County Park
"
#4337,Old Creek to Western Pacific Trail,MODERATE,16,"Quarry Lakes Regional Park
"
#4338,Cirque Peak Via Cottonwood Lakes and New Army Pass Trails,MODERATE,7,"Sequoia-Kings Canyon Wilderness
"
#4339,Santa Barbara Waterfront,EASY,17,"Santa Barbara, California
"
