,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
2073,Milagra Overlook Trail,EASY,38,"Golden Gate National Recreation Area
",2.7 miles,564 feet,Loop,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, trail running, walking, bird watching, views, wild flowers,",4
2074,Peppermint Creek Falls,EASY,17,"Sequoia National Forest
",0.8 miles,104 feet,Out & Back,"dogs on leash, kid friendly, camping, fishing, hiking, nature trips, walking, forest, river, waterfall, wild flowers,",4.3
2075,"Yolanda, Hidden Meadow, and Shaver Grade Loop",MODERATE,31,"Mount Tamalpais Watershed
",3.8 miles,557 feet,Loop,"dogs on leash, hiking, nature trips, walking, bird watching, views, wild flowers,",4.4
2076,Skyline to the Sea Trail Short Loop,EASY,20,"West Waddell Creek State Wilderness
",2.9 miles,298 feet,Loop,"hiking, nature trips, trail running, forest, river, views, wild flowers, wildlife, no dogs,",4.4
2077,Hart Park Big Loop,MODERATE,37,"Hart Memorial Unit
",6.5 miles,"1,118 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, river, views, no shade,",3.9
2078,Santa Cruz Island: Pelican Bay And Prisoners Harbor Trails,MODERATE,9,"Channel Islands National Park
",8.6 miles,"1,433 feet",Loop,"hiking, nature trips, trail running, beach, cave, forest, lake, hot springs, river, waterfall, wild flowers, wildlife, blowdown, bridge out, bugs, muddy, over grown, rocky, scramble, washed out, no dogs,",4.7
2079,Mount Thom via Las Flores Motorway,MODERATE,43,"Glendale, California
",4.6 miles,"1,171 feet",Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, no shade,",3.9
2080,Mill Creek Trail,MODERATE,25,"Jedediah Smith Redwood State Park
",6.5 miles,"1,604 feet",Loop,"dogs on leash, hiking, mountain biking, lake,",4.2
2081,Lakeview Connector Trail,MODERATE,23,"Auburn State Recreation Area
",7.4 miles,902 feet,Out & Back,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.2
2082,Santa Fe Dam Loop Trail,MODERATE,36,"Santa Fe Dam Recreation Area
",4.0 miles,75 feet,Loop,"dogs on leash, camping, fishing, hiking, mountain biking, nature trips, paddle sports, road biking, trail running, walking, bird watching, views, wild flowers,",4.1
2083,Swiss Canyon Trail,EASY,45,"Sand to Snow National Monument
",2.4 miles,544 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, views, wildlife, rocky, scramble, no shade,",3.9
2084,Aliso Peak to Coast Royale Beach,MODERATE,15,"Aliso And Wood Canyons Regional Park
",1.9 miles,715 feet,Out & Back,"dog friendly, kid friendly, hiking, trail running, beach, views,",4.6
2085,Kelly Ditch Trail,HARD,24,"William Heise County Park
",11.7 miles,"2,414 feet",Out & Back,"dogs on leash, camping, hiking, horseback riding, mountain biking, nature trips, bird watching, forest, views, wild flowers, wildlife, rocky, scramble,",4.2
2086,North Rim to B Trail to Middle Trail,HARD,38,"Bidwell Park
",9.9 miles,"1,305 feet",Loop,"dog friendly, hiking, mountain biking, nature trips, trail running, bird watching, river, views, wild flowers, rocky,",4.3
2087,Nicholas Flat via Decker School Road,EASY,35,"Nicholas Flat Natural Preserve
",3.5 miles,623 feet,Loop,"kid friendly, hiking, trail running, walking, forest, views, wild flowers, wildlife, no dogs,",4.6
2088,Briones Peak Via Alahambra Creek and Briones Crest Trails,MODERATE,31,"Briones Regional Park
",5.4 miles,"1,128 feet",Out & Back,"dogs on leash, hiking, mountain biking, trail running, walking, views,",4.2
2089,Black Sands Beach via Upper Fishermans Trail,EASY,22,"Golden Gate National Recreation Area
",0.5 miles,226 feet,Out & Back,"kid friendly, fishing, hiking, nature trips, walking, bird watching, beach, views, wild flowers, wildlife, no dogs,",4.3
2090,"Peters Canyon, Scout and East Ridge View Loop",EASY,17,"Peters Canyon Regional Park
",2.3 miles,357 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, lake, views, wildlife,",4.3
2091,Horsethief Canyon Trail,EASY,38,"Horsethief Canyon Park
",3.3 miles,498 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.2
2092,"Lake View, Gnatcacher, East Ridge View and Peters Canyon Loop",EASY,13,"Peters Canyon Regional Park
",2.9 miles,370 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, lake, wildlife,",4.2
2093,San Andreas Lake Trail,EASY,47,"Millbrae, California
",7.1 miles,488 feet,Out & Back,"kid friendly, nature trips, road biking, trail running, walking, bird watching, forest, lake, paved, views, wild flowers, wildlife, no dogs,",3.5
2094,Lost Coast Trail: Southern Loop,HARD,13,"Sinkyone Wilderness State Park
",17.3 miles,"5,603 feet",Loop,"camping, hiking, beach, forest, river, views, wild flowers, wildlife, blowdown, over grown, no dogs,",4.2
2095,North Carl Lykken Trail to Falls Overlook,MODERATE,42,"Palm Springs, California
",4.7 miles,"1,253 feet",Out & Back,"kid friendly, hiking, horseback riding, mountain biking, trail running, views, waterfall, rocky, no dogs,",4.1
2096,Berkeley Marina Loop Trail,EASY,28,"McLaughlin Eastshore State Park
",4.8 miles,72 feet,Loop,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, nature trips, road biking, trail running, walking, paved, views, city walk,",4.2
2097,"Homestead, Tuleyome Peak, and Blue Ridge Loop",HARD,25,"Stebbins Cold Canyon Reserve
",7.2 miles,"2,427 feet",Loop,"hiking, nature trips, trail running, bird watching, views, no shade,",4.5
2098,"West Ridge, Tres Sendas, Stream Trail, and East Ridge Loop",EASY,18,"Redwood Regional Park
",3.9 miles,682 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, forest, river,",4.5
2099,Dutch Flat and Dairy Trails,MODERATE,31,"Joseph D Grant County Park
",5.7 miles,754 feet,Loop,"dogs on leash, hiking, trail running, walking, wild flowers, wildlife,",4
2100,Cooper Canyon via Cloudburst Summit,MODERATE,17,"San Gabriel Wilderness
",7.3 miles,"1,804 feet",Out & Back,"dog friendly, backpacking, camping, hiking, nature trips, walking, bird watching, forest, views, waterfall, wildlife,",4.4
2101,Cuyamaca West Side,HARD,25,"Cuyamaca Rancho State Park
",5.6 miles,"1,637 feet",Out & Back,"hiking, trail running, walking, partially paved, views, no dogs,",4
2102,"East Ridge, Prince, Stream, Tres Sendas, French West Ridge",MODERATE,25,"Redwood Regional Park
",3.4 miles,646 feet,Loop,"dog friendly, hiking, nature trips, walking, bird watching, views,",4.4
2103,Rancho Santa Ana Botanic Garden Trails,EASY,28,"Rancho Santa Ana Botanic Gardens
",2.4 miles,134 feet,Out & Back,"wheelchair friendly, kid friendly, stroller friendly, nature trips, walking, paved, views, wild flowers, wildlife, no dogs,",4
2104,Manzanita Creek Trail,MODERATE,16,"Lassen Volcanic National Park
",6.7 miles,"1,220 feet",Out & Back,"cross country skiing, hiking, nature trips, snowshoeing, bird watching, lake, river, views, wild flowers, wildlife, no dogs,",4.2
2105,Mills Canyon Nature Area Trail Loop,EASY,44,"Mills Canyon Park
",1.5 miles,331 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, wild flowers,",3.9
2106,Ghost Mountain Trail to Yaquitepec,MODERATE,27,"Anza-Borrego Desert State Park
",1.1 miles,423 feet,Out & Back,"kid friendly, hiking, nature trips, walking, bird watching, views, wild flowers, wildlife, rocky, no dogs,",4.1
2107,Big Bend Laguna Ridge Loop,MODERATE,36,"Laguna Coast Wilderness Park
",3.9 miles,974 feet,Loop,"hiking, mountain biking, views, wild flowers, wildlife, no dogs,",4.4
2108,Lower Peters Canyon Trail Loop Via Citrus Ranch Park,MODERATE,37,"Santa Ana, California
",7.4 miles,675 feet,Loop,"dogs on leash, hiking, trail running, walking, views,",4.2
2109,Shipley Nature Trail,EASY,35,"Huntington Central Park
",1.1 miles,16 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, lake, views, wildlife, no dogs,",4.1
2110,Lover's Loop via Grass Mountain Trail,MODERATE,39,"Santa Ynez, California
",3.8 miles,780 feet,Loop,"dog friendly, hiking, trail running, bird watching, forest, wildlife,",4.5
2111,Ferndell Trail to the Hollywood Sign,MODERATE,15,"Griffith Park
",11.8 miles,"2,247 feet",Out & Back,"dogs on leash, backpacking, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife, bugs,",4.4
2112,Badger Gap and Little Tenant Spring Trail,MODERATE,27,"Sequoia National Forest
",9.6 miles,"1,699 feet",Out & Back,"dog friendly, hiking, walking, views, wild flowers, wildlife,",3.7
2113,Whiting Woods Motorway Trail,MODERATE,20,"La Tuna Canyon Park
",5.7 miles,"1,650 feet",Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.3
2114,Desert View Interpretive Trail,EASY,30,"Cleveland National Forest
",1.0 miles,124 feet,Loop,"dog friendly, kid friendly, camping, hiking, walking, views, wildlife,",4.4
2115,Santa Rosa Plateau Scenic Loop,MODERATE,21,"Santa Rosa Plateau Ecological Reserve
",7.1 miles,715 feet,Loop,"hiking, nature trips, walking, bird watching, views, wild flowers, no dogs,",4.5
2116,"Fox Trail, Coastal Trail, and Tennessee Valley Trail Loop",MODERATE,24,"Golden Gate National Recreation Area
",4.1 miles,859 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.4
2117,Bean Hollow Beach Trail,EASY,20,"Pescadero, California
",1.6 miles,55 feet,Out & Back,"dogs on leash, kid friendly, fishing, hiking, walking, bird watching, beach, views, wild flowers, wildlife,",4.2
2118,Del Amigo Trail to Eugene O'Neil National Historic Site,MODERATE,45,"Las Trampas Regional Park
",2.0 miles,410 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers,",3.9
2119,PCT: CA Section M - Highway 49 to Belden,HARD,5,"Plumas-Eureka State Park
",85.6 miles,"15,826 feet",Point to Point,"dog friendly, backpacking, camping, hiking, horseback riding, trail running, forest, lake, river, views, waterfall, wild flowers, wildlife, bugs, rocky, scramble, snow,",4.7
2120,Contra Costa Canal Trail,EASY,42,"Walnut Creek, California
",13.2 miles,246 feet,Point to Point,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, nature trips, road biking, trail running, walking, bird watching, paved, views, wild flowers,",3.7
2121,PCT near Lookout Mountain,EASY,30,"Santa Rosa Mountains State Wilderness
",5.4 miles,666 feet,Out & Back,"dogs on leash, kid friendly, camping, hiking, horseback riding, nature trips, bird watching, forest, views, wild flowers, wildlife, scramble,",4.5
2122,"Skyline, Bear Gulch, Alambique and Meadow Loop",HARD,30,"Wunderlich County Park
",9.5 miles,"1,988 feet",Loop,"hiking, horseback riding, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, no dogs,",4
2123,Marsh Creek Trail via Concord Avenue,EASY,42,"Brentwood, California
",15.1 miles,147 feet,Out & Back,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, fishing, mountain biking, nature trips, road biking, trail running, walking, bird watching, partially paved, views, wild flowers, wildlife, bugs, no shade,",4.1
2124,Zanja Peak Loop,MODERATE,35,"Yucaipa Regional Park
",5.5 miles,"1,158 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, forest, views, wild flowers,",4.4
2125,"Springhill, Lafayette Ridge, Briones Crest and Sunrise Loop",MODERATE,41,"Briones Regional Park
",3.9 miles,"1,135 feet",Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, bird watching, views, wildlife,",4.4
2126,Rainbow Basin Scenic Drive,EASY,30,"Hinkley, California
",4.6 miles,347 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, off road driving, scenic driving, walking, bird watching, views, wild flowers, wildlife,",4.5
2127,Nike Hill,MODERATE,54,"South El Monte, California
",3.8 miles,987 feet,Out & Back,"hiking, nature trips, walking, bird watching, views,",4.2
2128,Morro Bay Harbor & Estuary,EASY,30,"Morro Bay State Park
",1.5 miles,91 feet,Loop,"kid friendly, hiking, nature trips, paddle sports, walking, bird watching, beach, views, wildlife, no dogs,",4.2
2129,Danielson Monument Trail,MODERATE,22,"Santa Monica Mountains National Recreation Area
",8.8 miles,"2,001 feet",Out & Back,"hiking, waterfall, muddy, no dogs,",4.4
2130,"West Butte, Wind Caves, Slot Loop Trail",MODERATE,18,"Anza-Borrego Desert State Park
",5.6 miles,734 feet,Loop,"hiking, nature trips, walking, bird watching, views, no dogs,",4.3
2131,Happy Camp Canyon Trail,MODERATE,48,"Happy Camp Canyon Regional Park
",8.8 miles,800 feet,Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wildlife,",3.8
2132,West Horsethief Trail,HARD,13,"Cleveland National Forest
",6.3 miles,"2,139 feet",Out & Back,"dog friendly, hiking, mountain biking, river, views, wild flowers, wildlife,",4.5
2133,Tahoe Rim to Watson Lake Trail,MODERATE,31,"Tahoe National Forest
",12.7 miles,"2,050 feet",Out & Back,"dog friendly, hiking, mountain biking, nature trips, walking, bird watching, forest, views, wild flowers,",4
2134,Woodward Valley Trail,HARD,19,"Point Reyes National Seashore
",13.1 miles,"1,587 feet",Loop,"backpacking, hiking, nature trips, trail running, bird watching, beach, views, wild flowers, no dogs,",4.5
2135,Oriflamme Canyon Trail,MODERATE,15,"Anza-Borrego Desert State Park
",15.7 miles,"2,831 feet",Loop,"backpacking, camping, hiking, horseback riding, mountain biking, views, rocky, washed out, off trail, no dogs,",4.4
2136,San Juan Hill via South Ridge Trail,MODERATE,28,"Chino Hills State Park
",6.2 miles,"1,017 feet",Out & Back,"hiking, mountain biking, nature trips, road biking, trail running, walking, bird watching, views, wild flowers, wildlife, no shade, no dogs,",4.3
2137,Poplar Beach Trail,EASY,26,"Half Moon Bay State Beach
",1.5 miles,29 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, beach, views, wild flowers, no shade,",4.4
2138,South Legacy Way,MODERATE,24,"Hidden Falls Regional Park
",4.2 miles,410 feet,Out & Back,"dogs on leash, kid friendly, hiking, trail running, forest, river, waterfall, wild flowers, muddy,",4.1
2139,Limekiln Trail to Priest Rock and Kennedy Trail,HARD,29,"Los Gatos, California
",9.5 miles,"2,654 feet",Out & Back,"dogs on leash, hiking, nature trips, bird watching, forest, views, wild flowers, wildlife,",4.2
2140,"Ridge Trail, Camp Trail, Merry Go Round Loop",MODERATE,37,"Mount Madonna County Park
",3.9 miles,787 feet,Loop,"dogs on leash, hiking, horseback riding, nature trips, trail running, walking, bird watching, forest, views,",4.3
2141,"Onion Valley, Kearsarge Pass, Forrester Pass, Shepherds Pass Backpacking Trip",HARD,6,"Kings Canyon National Park
",54.9 miles,"17,490 feet",Loop,"backpacking, camping, hiking, horseback riding, nature trips, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",5
2142,Granite Bay Mountain Bike Trail,MODERATE,35,"Folsom Lake State Recreation Area
",5.5 miles,393 feet,Loop,"hiking, mountain biking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife,",4.2
2143,Canyon Sin Nombre,MODERATE,23,"Anza-Borrego Desert State Park
",5.2 miles,633 feet,Out & Back,"backpacking, camping, hiking, mountain biking, nature trips, bird watching, views, wild flowers, wildlife, rocky, scramble, no shade, no dogs,",4.3
2144,Olivehain Reservoir Loop,MODERATE,32,"Rancho Santa Fe, California
",5.9 miles,"1,450 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, lake, views, wild flowers,",4.3
2145,Indian Joe Creek Trail,MODERATE,30,"Sunol Regional Wilderness
",5.3 miles,"1,207 feet",Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, river, views, wild flowers, wildlife,",4.1
2146,Newark Slough Trail,EASY,46,"Don Edwards San Francisco Bay National Wildlife Refuge
",6.5 miles,118 feet,Loop,"kid friendly, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",3.9
2147,Big Love Rock Trail and Mount Heritage,MODERATE,42,"Homeland, California
",2.8 miles,"1,095 feet",Out & Back,"hiking, trail running, views, wild flowers, wildlife,",4.1
2148,Taylor Creek Loop,MODERATE,29,"Lake Tahoe Basin Management Unit
",3.7 miles,173 feet,Loop,"dogs on leash, hiking, snowshoeing, lake,",3.9
2149,Murphy Creek Trail to Polly Dome Lake,EASY,11,"Yosemite National Park
",6.4 miles,669 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, lake, views, wild flowers, wildlife, no dogs,",4.5
2150,Stagecoach Bluff Loop Trail,EASY,27,"Wildwood Regional Park
",2.4 miles,255 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, rocky,",4.3
2151,Baxter Steps,MODERATE,22,"Los Angeles, California
",0.1 miles,68 feet,Out & Back,"hiking, walking, views, no dogs,",4.2
2152,Tuolumne River Loop: Dana and Lyell Forks,EASY,8,"Yosemite National Park
",3.6 miles,183 feet,Loop,"kid friendly, hiking, trail running, walking, bird watching, lake, river, wild flowers, wildlife, no dogs,",4.8
2153,Grape Avenue Trail,EASY,35,"Yucaipa, California
",6.7 miles,"1,338 feet",Out & Back,"dogs on leash, kid friendly, hiking, views, bugs, no shade,",4.3
2154,Piru Creek Trail,EASY,34,"Los Padres National Forest
",2.8 miles,154 feet,Out & Back,"dogs on leash, kid friendly, fishing, hiking, nature trips, walking, bird watching, views, wild flowers, wildlife,",4
2155,O'Melveny Park Trail and Bee Canyon Loop,MODERATE,26,"O'Melveny Park
",3.2 miles,925 feet,Loop,"dogs on leash, hiking, trail running, views, wildlife,",4.3
2156,Shadow Creek Trail to John Muir Trail,HARD,10,"Ansel Adams Wilderness
",8.1 miles,"1,223 feet",Out & Back,"dog friendly, backpacking, camping, hiking, horseback riding, nature trips, bird watching, forest, lake, river, views, wild flowers, rocky,",4.9
2157,Bay View Trail to Shoreline Trail Loop,MODERATE,34,"China Camp State Park
",4.0 miles,646 feet,Loop,"kid friendly, hiking, mountain biking, nature trips, trail running, walking, forest, views, wild flowers, no dogs,",4.5
2158,Burbank Peak to Hollywood Sign to Upper Lake Hollywood Loop,MODERATE,31,"Griffith Park
",5.1 miles,"1,148 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, views,",4.4
2159,Florence Lake to Evolution Valley,HARD,8,"Sierra National Forest
",30.7 miles,"3,772 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, horseback riding, nature trips, trail running, bird watching, forest, lake, river, views, wild flowers, wildlife, bugs, rocky, washed out,",4.8
2160,Granite Lake via Swift Creek Trail,MODERATE,21,"Shasta-Trinity National Forest
",9.7 miles,"2,057 feet",Out & Back,"dogs on leash, backpacking, camping, fishing, hiking, nature trips, forest, lake, river, views, waterfall, wild flowers,",4.9
2161,Magnolia Trail to Buzzard Peak Road,MODERATE,30,"Walnut, California
",4.1 miles,971 feet,Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.1
2162,San Bernadino Town Trail,EASY,29,"San Bernardino National Forest
",1.9 miles,131 feet,Out & Back,"dogs on leash, kid friendly, camping, hiking, nature trips, trail running, forest, views, wildlife, bugs,",4
2163,Bunny Flat to Panther Meadow,EASY,25,"Mount Shasta Wilderness
",3.5 miles,528 feet,Out & Back,"dogs on leash, kid friendly, hiking, scenic driving, trail running, bird watching, forest, views, wildlife,",4
2164,Remington Ridge Trail to Lightner Peak,HARD,15,"Sequoia National Forest
",11.4 miles,"4,071 feet",Out & Back,"dog friendly, hiking, horseback riding, mountain biking, bird watching, views, wild flowers, wildlife, snow,",4.8
2165,Strawberry Creek Fire Trails via Dwight Way,HARD,13,"Claremont Canyon Regional Preserve
",4.2 miles,"1,496 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, views, wild flowers, wildlife, rocky, scramble, no shade,",4.4
2166,Hensley Lake Day Use Areas Trail,EASY,38,"Madera, California
",2.7 miles,328 feet,Out & Back,"dog friendly, kid friendly, camping, hiking, mountain biking, nature trips, trail running, walking, views, wildlife,",4.1
2167,Lake Casitas Trail,EASY,30,"Lake Casitas Rec Area
",4.0 miles,282 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, lake, views, wild flowers, wildlife,",3.9
2168,American River via Bannister Park,EASY,37,"American River Parkway
",2.0 miles,91 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, walking, forest, partially paved, river, city walk,",4.2
2169,Cardiff State Beach to Solana Beach Trail,EASY,29,"Cardiff State Beach
",2.4 miles,193 feet,Out & Back,"kid friendly, hiking, nature trips, surfing, walking, bird watching, beach, views, wild flowers, no dogs,",4.2
2170,Happy Isles to Cloud's Rest Loop,HARD,4,"Yosemite National Park
",21.4 miles,"6,371 feet",Loop,"backpacking, camping, hiking, forest, river, views, waterfall, no dogs,",4.8
2171,San Jacinto Peak via Deer Springs Trail,HARD,29,"Mount San Jacinto State Park
",16.1 miles,"5,226 feet",Out & Back,"backpacking, hiking, nature trips, forest, views, rocky, scramble, no shade, no dogs,",4.6
2172,San Juan Trail to Sugarloaf Peak,HARD,24,"Cleveland National Forest
",12.4 miles,"2,509 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, bird watching, views, wild flowers,",4.4
2173,Upper Seafoam Trail Loop,MODERATE,33,"Kennedy Grove Regional Recreation Area
",1.9 miles,557 feet,Loop,"dog friendly, hiking, nature trips, walking, bird watching, views, wild flowers,",4.4
2174,Heather Lake and Pear Lake via Hump Trail (Winter Route),HARD,28,"Sequoia-Kings Canyon Wilderness
",10.9 miles,"3,211 feet",Out & Back,"backpacking, camping, hiking, nature trips, bird watching, forest, lake, views, wild flowers, wildlife, snow,",4.7
2175,"Hardy Canyon, Miwok, Murphy Meadow Loop",MODERATE,29,"Round Valley Regional Preserve
",7.7 miles,"1,122 feet",Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wildlife, no dogs,",4.5
2176,Bat Caves Buttes,MODERATE,25,"Salton Sea State Recreation Area
",3.0 miles,328 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, views, rocky, washed out,",3.7
2177,Lindsey Lake Trail,MODERATE,19,"Tahoe National Forest
",6.2 miles,921 feet,Out & Back,"dogs on leash, camping, hiking, horseback riding, mountain biking, forest, lake, views, wildlife,",4.4
2178,Malaga Cove to Flat Rock Point Trail,EASY,15,"Redondo Beach, California
",3.6 miles,377 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, no dogs,",3.7
2179,"Bell Canyon, Oso and Cougar Pass Trail",MODERATE,25,"Caspers Wilderness Park
",4.5 miles,449 feet,Loop,"hiking, horseback riding, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.1
2181,Lower Monroe Trail,MODERATE,31,"San Gabriel Mountains National Monument
",5.0 miles,725 feet,Out & Back,"dogs on leash, hiking, mountain biking, trail running, forest, views, wildlife,",4.3
2182,Mariposa and Canyon Loop,MODERATE,30,"Laguna Coast Wilderness Park
",1.9 miles,305 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",4
2183,Merced Lake Loop Trail,MODERATE,3,"Yosemite National Park
",32.4 miles,"6,023 feet",Loop,"backpacking, camping, fishing, hiking, nature trips, walking, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, no dogs,",5
2184,Balsam Forebay,EASY,33,"Sierra National Forest
",1.1 miles,101 feet,Out & Back,"dogs on leash, kid friendly, fishing, hiking, nature trips, walking, bird watching, forest, lake, views, wildlife,",4.2
2185,Soda Springs Creek,MODERATE,6,"Los Padres National Forest
",5.4 miles,"1,991 feet",Out & Back,"dogs on leash, kid friendly, backpacking, camping, hiking, trail running, views, no shade,",4.5
2186,Conejo Mountain via Powerline Trail,MODERATE,44,"Dos Vientos Open Space
",4.7 miles,"1,167 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, walking, forest, no shade,",4.1
2187,Mojave Road: I-15 to Aha Macav Parkway,MODERATE,19,"Baker, California
",118.9 miles,"6,581 feet",Point to Point,"dog friendly, camping, off road driving, views, wild flowers, wildlife, rocky,",4.6
2188,Devil's Hole OHV Trail,MODERATE,14,"San Bernardino National Forest
",9.1 miles,"1,758 feet",Out & Back,"hiking, nature trips, off road driving, bird watching, forest, river, views, wildlife,",4.5
2189,Earl Canyon Mountainway,MODERATE,28,"La Canada Flintridge, California
",6.7 miles,"2,007 feet",Out & Back,"dogs on leash, hiking, mountain biking, views, wild flowers, wildlife,",4.4
2190,"Mount Wittenberg, Sky, Woodward Valley, Coast, Bear Valley Trail",MODERATE,22,"Point Reyes National Seashore
",12.4 miles,"1,732 feet",Loop,"camping, hiking, nature trips, trail running, walking, bird watching, beach, forest, views, wild flowers, wildlife, no dogs,",4.6
2191,Backbone Trail to Mesa Peak,HARD,15,"Santa Monica Mountains National Recreation Area
",11.9 miles,"1,925 feet",Point to Point,"dogs on leash, hiking, mountain biking, nature trips, trail running, bird watching, forest, views, wild flowers,",4.2
2192,"Jones, Novitiate, Range, and Manzanita Trails Loop",MODERATE,29,"St. Joseph's Hill Open Space Preserve
",2.7 miles,616 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, bird watching, forest, views,",3.7
2193,Clear Creek Route to Mount Shasta,HARD,17,"Mount Shasta Wilderness
",16.7 miles,"8,631 feet",Out & Back,"backpacking, camping, hiking, skiing, snowshoeing, forest, views, rocky, scramble, snow, off trail,",4.9
2194,Mendocino Botanical Gardens,EASY,22,"Fort Bragg, California
",2.5 miles,82 feet,Loop,"wheelchair friendly, kid friendly, stroller friendly, hiking, walking, forest, views, wild flowers, no dogs,",4.5
2195,Browns Canyon to Oat Mountain,MODERATE,34,"Joughin Ranch Regional Park
",5.8 miles,"1,853 feet",Out & Back,"dogs on leash, hiking, nature trips, road biking, trail running, walking, bird watching, paved, views, wild flowers, wildlife,",3.9
2196,"Shelf, Gridley, Fuel Break, and Pratt Trails Loop",MODERATE,31,"Los Padres National Forest
",6.7 miles,"1,295 feet",Loop,"dog friendly, hiking, nature trips, trail running, walking, views, wild flowers, wildlife,",4.3
2197,Backbone Trail Through Zuma Canyon,HARD,29,"Zuma and Trancas Canyons
",9.0 miles,"1,906 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, trail running, bird watching, views, wild flowers, wildlife,",4.1
2198,Lewis Camp Trail to the Little Kern River,HARD,12,"Golden Trout Wilderness
",8.8 miles,"1,938 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, bird watching, forest, rails trails, river, views, wild flowers, wildlife, historic site,",4.2
2199,Sage Trail and East Ridge Trail Loop,MODERATE,23,"Daley Ranch
",5.0 miles,780 feet,Loop,"dogs on leash, hiking, mountain biking, nature trips, walking, bird watching, views,",4.2
2200,Deep Creek Hot Springs to PCT,MODERATE,20,"San Bernardino National Forest
",12.0 miles,"1,561 feet",Out & Back,"backpacking, camping, hiking, nature trips, walking, bird watching, hot springs, views,",4.5
2201,Twin Peak and Cone Peak Loop,HARD,11,"Limekiln State Park
",12.4 miles,"5,748 feet",Loop,"backpacking, camping, hiking, nature trips, bird watching, forest, views, waterfall, wild flowers, wildlife,",4.4
2203,Red Rock Canyon to Calabasas Peak,MODERATE,17,"Topanga, California
",4.2 miles,"1,059 feet",Out & Back,"hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, no dogs,",4.7
